id,category,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
81,Technical Indicators,RSI bergerak pada rentang:,0-50,0-100,20-80,-100-100,B,"Indikator RSI (Relative Strength Index) dirancang untuk berosilasi dalam rentang 0 hingga 100, dengan level jenuh beli (overbought) umumnya di atas 70 dan jenuh jual (oversold) di bawah 30."
82,Technical Indicators,RSI di bawah 30 menunjukkan:,Overbought,Oversold,Normal,Breakout,B,"Dalam analisis teknikal, nilai RSI di bawah 30 mengindikasikan bahwa aset telah mengalami penurunan harga yang berlebihan sehingga dianggap jenuh jual (oversold), berpotensi mengalami pembalikan naik."
83,Technical Indicators,Moving Average berfungsi untuk:,Mengukur volume,Menghaluskan harga,Mengukur volatilitas,Mengukur momentum,B,Moving Average (rata-rata bergerak) dirancang untuk meratakan fluktuasi harga acak sehingga memudahkan analis melihat arah tren secara lebih jelas.
84,Technical Indicators,Golden Cross terjadi saat:,MA pendek memotong MA panjang ke bawah,MA panjang memotong MA pendek,MA pendek memotong MA panjang ke atas,Harga memotong volume,C,"Golden Cross terjadi saat MA pendek memotong MA panjang ke atas, yang umumnya dianggap sebagai sinyal awal tren naik (bullish) setelah periode tren turun."
85,Technical Indicators,Death Cross bersifat:,Bullish,Bearish,Netral,Sideways,B,"Death Cross terjadi ketika rata-rata pergerakan jangka pendek memotong ke bawah rata-rata pergerakan jangka panjang, yang umumnya dianggap sebagai sinyal awal tren turun (bearish)."
86,Technical Indicators,MACD terdiri dari:,RSI dan MA,Dua MA dan histogram,Volume dan harga,Support resistance,B,Indikator MACD (Moving Average Convergence Divergence) dibentuk dari selisih dua moving average eksponensial (biasanya EMA 12 dan EMA 26) yang kemudian ditampilkan bersama garis sinyal dan histogram yang mencerminkan divergensi antara MACD dan garis sinyal.
87,Technical Indicators,MACD di atas garis nol menunjukkan:,Bearish,Sideways,Bullish,Oversold,C,"Ketika garis MACD berada di atas garis nol (positif), hal ini mengindikasikan bahwa moving average jangka pendek berada di atas moving average jangka panjang, mencerminkan momentum bullish atau tren naik."
88,Technical Indicators,Divergence bullish terjadi ketika:,Harga naik - indikator naik,Harga turun - indikator turun,Harga turun - indikator naik,Harga naik - indikator turun,C,"Divergensi bullish terjadi ketika harga membentuk titik terendah yang lebih rendah (lower low) tetapi indikator membentuk titik terendah yang lebih tinggi (higher low), mengindikasikan melemahnya momentum turun dan potensi pembalikan naik."
89,Volume Analysis,Volume digunakan untuk:,Prediksi fundamental,Konfirmasi pergerakan harga,Menentukan nilai wajar,Menentukan EPS,B,"Dalam analisis teknikal, volume berfungsi untuk mengonfirmasi kekuatan atau kelemahan suatu pergerakan harga, misalnya kenaikan harga dengan volume tinggi dianggap lebih valid dibandingkan dengan volume rendah."
90,Volume Analysis,Breakout yang valid seharusnya disertai:,Volume rendah,Volume stagnan,Volume meningkat,Tanpa volume,C,"Dalam analisis teknikal, breakout yang valid dan meyakinkan harus didukung oleh lonjakan volume sebagai konfirmasi bahwa pergerakan harga melampaui level support/resistance didorong oleh partisipasi pasar yang kuat."
91,Risk & Money Management,Stop loss berfungsi untuk:,Mengunci profit,Membatasi risiko,Menambah posisi,Menghindari pajak,B,"Perintah stop loss ini secara otomatis menutup posisi saat harga mencapai level kerugian yang telah ditentukan, sehingga trader tidak mengalami kerugian lebih besar dari batas yang direncanakan."
92,Risk & Money Management,Risk : Reward ideal minimal:,1:1,1:1.5,1:2,2:1,C,"Dalam manajemen risiko trading, rasio risk-reward minimal yang sehat umumnya 1:2, artinya potensi keuntungan dua kali lipat dari risiko kerugian, sehingga trader masih bisa profit meskipun hanya 50% dari transaksinya yang menang."
93,Risk & Money Management,Position sizing bertujuan untuk:,Maksimalkan profit,Batasi kerugian,Mengatur emosi,Menentukan tren,B,"Dengan mengatur besarnya posisi per transaksi, trader dapat mengendalikan jumlah risiko yang ditanggung (biasanya persentase tertentu dari modal), sehingga tidak ada satu pun transaksi yang dapat menghancurkan akun secara signifikan."
94,Risk & Money Management,Overtrading biasanya disebabkan oleh:,Disiplin tinggi,Kesabaran,Emosi,Analisis matang,C,"Perilaku seperti keserakahan, ketakutan ketinggalan peluang (FOMO), atau keinginan membalas kerugian (revenge trading) dapat mendorong trader melakukan transaksi berlebihan di luar rencana."
95,Risk & Money Management,FOMO berarti:,Takut rugi,Takut ketinggalan peluang,Takut loss,Takut salah analisis,B,"FOMO merupakan singkatan dari Fear Of Missing Out, yaitu kondisi psikologis di mana trader terburu-buru membuka posisi karena khawatir kehilangan potensi keuntungan yang sedang terjadi."
96,Philosophy & History of Technical Analysis,Time frame besar digunakan untuk:,Entry cepat,Noise market,Menentukan tren utama,Scalping,C,"Time frame yang lebih besar (harian, mingguan, bulanan) digunakan untuk mengidentifikasi arah tren dominan, sedangkan time frame kecil lebih cocok untuk entry cepat atau scalping."
97,Philosophy & History of Technical Analysis,Entry terbaik searah tren utama disebut:,Counter trend,Trend following,Mean reversion,Scalping,B,"Strategi trend following ini berarti membuka posisi searah dengan tren utama (misalnya membeli saat uptrend atau menjual saat downtrend), berbeda dengan counter trend, mean reversion, atau scalping yang tidak selalu searah tren utama."
98,Philosophy & History of Technical Analysis,False breakout sering terjadi saat:,Volume besar,Volume kecil,Tren kuat,Konfirmasi lengkap,B,Kurangnya volume menunjukkan partisipasi pasar yang lemah sehingga harga cenderung gagal bertahan di luar level support/resistance.
99,Philosophy & History of Technical Analysis,Indikator sebaiknya digunakan:,Sebanyak mungkin,Tanpa price action,Sebagai alat bantu,Sebagai satu-satunya acuan,C,"Indikator teknikal tidak boleh diandalkan sebagai satu-satunya acuan atau digunakan sebanyak mungkin, melainkan berfungsi untuk mengonfirmasi sinyal dari price action dan struktur pasar."
100,Philosophy & History of Technical Analysis,Analisis teknikal paling efektif jika dikombinasikan dengan:,Emosi,Rumor,Manajemen risiko,Spekulasi,C,"Tanpa pengelolaan risiko yang tepat (stop loss, posisi sizing, rasio risk:reward), analisis teknikal yang akurat sekalipun tidak akan melindungi modal trader dari kerugian besar akibat ketidakpastian pasar."
101,Philosophy & History of Technical Analysis,Analisis teknikal terutama digunakan untuk menganalisis:,Kinerja keuangan perusahaan,Laporan laba rugi,Pergerakan harga dan volume,Kebijakan manajemen,C,"Analisis teknikal terutama digunakan untuk menganalisis pergerakan harga dan volume karena metode ini berfokus pada data pasar historis (harga dan volume) untuk memprediksi arah pergerakan harga di masa depan, bukan pada kinerja keuangan, laporan laba rugi, atau kebijakan manajemen."
102,Philosophy & History of Technical Analysis,"Prinsip dasar analisis teknikal adalah, kecuali:",Harga mencerminkan semua informasi,Harga bergerak dalam tren,Sejarah cenderung berulang,Laporan keuangan menentukan harga harian,D,"Laporan keuangan merupakan prinsip analisis fundamental, bukan bagian dari tiga prinsip utama analisis teknikal yang mencakup ""harga mencerminkan semua informasi,"" ""harga bergerak dalam tren,"" dan ""sejarah cenderung berulang."""
103,Technical Indicators,Higher High dan Higher Low menunjukkan tren:,Sideways,Downtrend,Uptrend,Reversal,C,"Dalam analisis teknikal, pola Higher High (puncak yang semakin tinggi) dan Higher Low (lembah yang semakin tinggi) merupakan definisi standar dari tren naik (uptrend)."
104,Technical Indicators,"Pola ""Head and Shoulders"" menandakan:",Kelanjutan tren naik,Pembalikan tren naik ke turun,Sideways market,Breakout bullish,B,"Pola Head and Shoulders top terbentuk setelah tren naik dengan tiga puncak (bahu kiri-kepala-bahu kanan) di mana kepala lebih tinggi, dan ketika harga menembus garis leher (neckline) ke bawah, itu mengonfirmasi pembalikan dari tren bullish menjadi bearish."
105,Support & Resistance,Support adalah:,Area harga tertinggi,Area harga terendah sepanjang waktu,Area di mana harga cenderung memantul naik,Area volume tertinggi,C,Support merupakan level psikologis atau teknis di mana tekanan beli diperkirakan cukup kuat untuk menghentikan penurunan dan mendorong harga kembali naik.
106,Support & Resistance,"Jika resistance berhasil ditembus dengan volume besar, maka:",Harga pasti turun,Resistance berubah menjadi support,Harga sideways,Tren berakhir,B,"Dalam analisis teknikal, ketika level resistance ditembus dengan volume besar, level tersebut secara konsep berbalik fungsi menjadi support di mana harga cenderung tertahan saat koreksi."
107,Technical Indicators,RSI di atas 70 menandakan:,Oversold,Overbought,Normal,Reversal pasti,B,"Dalam analisis teknikal, nilai RSI di atas 70 mengindikasikan bahwa aset telah mengalami kenaikan harga yang berlebihan dalam periode tertentu sehingga dianggap jenuh beli (overbought), meskipun hal ini belum menjamin pembalikan harga secara pasti."
108,Technical Indicators,Moving Average digunakan untuk:,Menentukan laporan keuangan,Mengukur volatilitas,Menghaluskan pergerakan harga dan mengidentifikasi tren,Menentukan volume,C,"Moving average meratakan fluktuasi harga acak untuk memperjelas arah tren secara visual, bukan untuk menentukan laporan keuangan, mengukur volatilitas, atau menentukan volume."
109,Technical Indicators,MACD terdiri dari:,RSI dan Stochastic,Dua Moving Average dan histogram,Support dan resistance,Volume dan harga,B,Indikator MACD (Moving Average Convergence Divergence) dibentuk dari selisih dua moving average eksponensial (biasanya EMA 12 dan EMA 26) yang kemudian digambarkan bersama garis sinyal (EMA 9) dan histogram yang mewakili selisih antara MACD dan garis sinyal.
110,Dow Theory & Market Cycles,Kenaikan harga yang sehat biasanya disertai dengan:,Volume menurun,Volume stagnan,Volume meningkat,Tanpa volume,C,"Dalam analisis teknikal, kenaikan harga yang sehat dan berkelanjutan biasanya didukung oleh peningkatan volume yang menunjukkan partisipasi aktif pembeli dan validitas tren naik."
111,Dow Theory & Market Cycles,"Menurut Dow Theory, tren utama (primary trend) adalah...",Pergerakan harga jangka sangat pendek,Fluktuasi harga harian,Arah pergerakan harga jangka panjang,Pergerakan harga tanpa arah,C,"Menurut Dow Theory, tren utama (primary trend) berlangsung selama berbulan hingga bertahun-tahun dan merepresentasikan arah pasar secara fundamental, berbeda dengan tren sekunder atau tren minor yang bersifat lebih pendek."
112,Dow Theory & Market Cycles,"Menurut Dow Theory, pasar memiliki berapa jenis tren utama?",Satu,Dua,Tiga,Empat,C,"Menurut Dow Theory, pasar memiliki tiga jenis tren utama (primary trend), yaitu tren utama (berlangsung berbulan hingga tahunan), tren sekunder (koreksi dalam tren utama), dan tren minor (fluktuasi harian atau mingguan)."
113,Dow Theory & Market Cycles,Tren utama (Primary Trend) dalam Dow Theory biasanya berlangsung selama...,Beberapa hari,Beberapa minggu,Beberapa bulan hingga tahun,Beberapa jam,C,"Menurut Dow Theory, tren utama (primary trend) adalah pergerakan harga jangka panjang yang dapat berlangsung dari beberapa bulan hingga beberapa tahun, berbeda dengan tren sekunder (beberapa minggu hingga bulan) atau tren minor (beberapa hari hingga minggu)."
114,Dow Theory & Market Cycles,"Menurut Dow Theory, konfirmasi tren terjadi ketika...",Volume menurun,Harga bergerak acak,Indeks atau harga saling mengonfirmasi,Terjadi gap harga,C,"Menurut Dow Theory, suatu tren tidak dianggap valid hingga dua indeks yang relevan (misalnya Dow Jones Industrial Average dan Dow Jones Transportation Average) bergerak searah, saling mengonfirmasi sinyal pergerakan harga."
115,Dow Theory & Market Cycles,"Dalam Uptrend menurut Dow Theory, pergerakan harga ditandai dengan...",Lower High dan Lower Low,Higher High dan Higher Low,Equal High dan Equal Low,Random movement,B,"Menurut Dow Theory, uptrend didefinisikan sebagai serangkaian puncak yang semakin tinggi (higher high) dan lembah yang semakin tinggi (higher low), mencerminkan dominasi tekanan beli."
116,Dow Theory & Market Cycles,"Pernyataan ""Volume harus mengonfirmasi tren"" berarti...",Volume tidak penting,Volume selalu menurun,Volume meningkat searah tren,Volume bergerak acak,C,"Dalam analisis teknikal, prinsip konfirmasi volume mengharuskan volume bertambah ketika harga bergerak sesuai arah tren (misalnya volume naik saat uptrend atau volume naik saat downtrend) sebagai tanda validitas dan kekuatan tren tersebut."
117,Chart Patterns,Chart pattern digunakan dalam analisis teknikal untuk...,Menentukan nilai intrinsik,Memprediksi laporan keuangan,Mengidentifikasi kelanjutan atau pembalikan tren,Menentukan kebijakan moneter,C,"Dalam analisis teknikal, chart pattern (seperti segitiga, bendera, head and shoulders, double top/bottom) digunakan untuk membaca struktur pergerakan harga guna memprediksi apakah tren yang sedang berlangsung akan berlanjut (continuation) atau berbalik arah (reversal)."
118,Candlestick Patterns,Pola Head and Shoulders termasuk dalam kategori...,Continuation Pattern,Reversal Pattern,Random Pattern,Sideways Pattern,B,"Pola Head and Shoulders (baik top maupun bottom) secara klasik digunakan untuk mengidentifikasi pembalikan arah tren, bukan kelanjutan, pergerakan acak, atau sideways."
119,Candlestick Patterns,Pola Double Top biasanya mengindikasikan...,Kelanjutan tren naik,Pembalikan dari tren naik ke turun,Sideways market,Tren naik yang semakin kuat,B,"Pola Double Top terbentuk setelah tren naik yang panjang dengan dua puncak berdekatan pada level resistensi yang sama, yang menandakan kegagalan harga untuk menembus ke atas dan diikuti oleh penurunan yang mengonfirmasi pembalikan tren menjadi bearish."
120,Chart Patterns,Breakout pada chart pattern dianggap valid jika didukung oleh...,Harga penutupan,Indikator RSI,Volume yang meningkat,Moving Average,C,"Dalam analisis teknikal, breakout dari suatu pola chart (seperti segitiga, head and shoulders, atau double bottom) dianggap valid dan meyakinkan ketika terjadi lonjakan volume yang mengonfirmasi partisipasi pasar, sementara harga penutupan, RSI, atau moving average bukanlah syarat utama validitas breakout."
121,Candlestick Patterns,Candlestick pertama kali diperkenalkan oleh...,Charles Dow,Ralph Nelson Elliott,Steve Nison,John Murphy,C,"Meskipun pola candlestick pertama kali dikembangkan pada abad ke-18 oleh pedagang beras Jepang Munehisa Homma, teknik ini baru diperkenalkan dan dipopulerkan secara luas di dunia Barat oleh Steve Nison melalui bukunya Japanese Candlestick Charting Techniques pada tahun 1991."
122,Candlestick Patterns,Informasi yang TIDAK ditampilkan oleh satu candlestick adalah...,Harga pembukaan,Harga penutupan,Volume transaksi,Harga tertinggi & terendah,C,"Satu batang candlestick hanya menampilkan empat titik data harga (open, high, low, close), sedangkan volume transaksi merupakan informasi terpisah yang biasanya ditampilkan dalam histogram di bawah grafik harga."
123,Candlestick Patterns,Candlestick dengan body kecil dan shadow panjang atas-bawah disebut...,Marubozu,Doji,Hammer,Engulfing,B,"Pola Doji memiliki karakteristik body yang sangat kecil atau hampir tidak ada (harga pembukaan dan penutupan hampir sama) serta dilengkapi dengan shadow atas dan bawah yang panjang, menandakan ketidakpastian pasar antara tekanan beli dan jual."
124,Candlestick Patterns,Panjang shadow bawah yang lebih panjang menunjukkan...,Tekanan jual kuat,Tekanan beli kuat,Volume kecil,Tidak ada minat pasar,B,"Dalam analisis candlestick, shadow bawah yang panjang (misalnya pada pola Hammer atau Doji) mengindikasikan bahwa meskipun harga sempat turun signifikan selama periode perdagangan, tekanan beli yang kuat berhasil mendorong harga kembali naik mendekati level tertinggi atau pembukaan."
125,Candlestick Patterns,Pola Hammer umumnya muncul pada kondisi...,Uptrend,Sideways,Downtrend,Distribution,C,Pola Hammer merupakan pola candlestick pembalikan bullish yang umumnya terbentuk setelah penurunan harga (downtrend) dan menandakan potensi pembalikan ke atas setelah adanya tekanan jual yang mulai melemah.
126,Candlestick Patterns,Candlestick paling efektif dianalisis bersama dengan...,Fundamental ekonomi,Indikator teknikal,News politik,Time & sales,B,"Candlestick memberikan informasi visual tentang pergerakan harga (open, high, low, close) dalam suatu periode, namun untuk meningkatkan akurasi sinyal pembalikan atau kelanjutan tren, pola candlestick paling efektif jika dikonfirmasi dengan indikator teknikal seperti volume, RSI, MACD, atau moving average, bukan dengan fundamental ekonomi, berita politik, atau time & sales secara terpisah."
127,Philosophy & History of Technical Analysis,Indikator teknikal digunakan untuk...,Menentukan nilai intrinsik saham,Memprediksi pergerakan harga,Mengukur kinerja perusahaan,Menghitung dividen,B,"Indikator teknikal seperti RSI, MACD, dan moving average dirancang untuk menganalisis data harga dan volume masa lalu guna mengidentifikasi pola atau sinyal yang dapat membantu memperkirakan arah pergerakan harga di masa depan, bukan untuk menentukan nilai intrinsik, kinerja perusahaan, atau dividen."
128,Technical Indicators,Moving Average termasuk indikator jenis...,Leading,Lagging,Oscillator,Volume,B,"Moving Average dihitung berdasarkan harga masa lalu (rata-rata harga dalam periode tertentu), sehingga indikator ini selalu tertinggal (lagging) dibandingkan pergerakan harga terkini, berbeda dengan indikator leading yang berusaha memprediksi pergerakan ke depan."
129,Technical Indicators,RSI berada pada skala...,0-50,0-100,-100-100,20-80,B,"Indikator RSI (Relative Strength Index) dirancang untuk bergerak dalam kisaran 0 hingga 100, dengan tingkat overbought umumnya di atas 70 dan oversold di bawah 30, bukan pada skala 0-50, -100-100, atau hanya 20-80."
130,Technical Indicators,MACD merupakan kombinasi dari...,Volume & harga,Dua Moving Average,RSI & Stochastic,High & Low,B,"MACD (Moving Average Convergence Divergence) dihitung dari selisih antara dua moving average eksponensial (biasanya EMA 12 dan EMA 26), yang kemudian dihaluskan dengan EMA 9 sebagai garis sinyal, sehingga inti indikator ini merupakan kombinasi dari dua moving average."
131,Technical Indicators,Indikator Stochastic paling efektif digunakan pada market...,Trending kuat,Sideways,High volatility,Breakout,B,"Indikator Stochastic paling efektif digunakan pada pasar yang bergerak sideways (ranging) atau tidak memiliki tren kuat, di mana sinyal jenuh beli (overbought) dan jenuh jual (oversold) lebih akurat untuk mengidentifikasi titik balik harga; sebaliknya, pada pasar yang sedang trending kuat, indikator ini cenderung memberikan sinyal palsu karena harga dapat tetap berada di area overbought atau oversold dalam waktu lama."
132,Technical Indicators,Bollinger Bands mengukur...,Arah tren,Kekuatan tren,Volatilitas,Volume pasar,C,"Bollinger Bands menggunakan moving average sebagai garis tengah dan dua pita di atas/bawahnya yang dihitung berdasarkan standar deviasi, sehingga lebarnya mencerminkan tingkat volatilitas harga (semakin lebar pita, semakin tinggi volatilitas; semakin sempit, semakin rendah volatilitas)."
133,Technical Indicators,Harga menyentuh upper band Bollinger mengindikasikan...,Oversold,Overbought,Trend reversal pasti,Harga akan turun drastis,B,"Ketika harga menyentuh atau menembus upper band Bollinger, hal tersebut mengindikasikan bahwa harga berada relatif tinggi dibandingkan rata-rata pergerakannya (biasanya 2 standar deviasi), sehingga kondisi pasar dianggap jenuh beli (overbought), meskipun tidak menjamin pembalikan atau penurunan drastis secara pasti."
134,Technical Indicators,Divergence antara harga dan indikator menandakan...,Kelanjutan tren,Konsolidasi,Potensi pembalikan arah,Volume meningkat,C,"Divergensi terjadi ketika pergerakan harga tidak diikuti oleh indikator osilator seperti RSI atau MACD (misalnya harga membuat higher high tetapi indikator membuat lower high), yang mengindikasikan melemahnya momentum tren saat ini dan sering kali menjadi sinyal awal akan terjadinya pembalikan tren."
135,Technical Indicators,Penggunaan terlalu banyak indikator berisiko menyebabkan...,Akurasi meningkat,Analisis lebih sederhana,Conflicting signals,Entry lebih cepat,C,"Ketika trader menggunakan terlalu banyak indikator sekaligus, sering kali muncul sinyal yang saling bertentangan (misalnya satu indikator menunjukkan overbought sementara indikator lain menunjukkan masih ada ruang naik), yang justru memperumit pengambilan keputusan, bukannya meningkatkan akurasi, menyederhanakan analisis, atau mempercepat entry."
136,Philosophy & History of Technical Analysis,Technical Analysis adalah metode analisis yang berfokus pada,Laporan keuangan perusahaan,Kondisi makroekonomi,Pergerakan harga dan volume,Kinerja manajemen,C,"Analisis teknikal murni menggunakan data harga historis dan volume transaksi untuk mengidentifikasi pola, tren, serta sinyal perdagangan, tanpa melibatkan laporan keuangan, kondisi makroekonomi, atau kinerja manajemen."
137,Philosophy & History of Technical Analysis,Tujuan utama dari Technical Analysis adalah...,Menilai nilai intrinsik saham,Memprediksi pergerakan harga di masa depan,Menentukan dividen perusahaan,Mengukur kinerja manajemen,B,"Analisis teknikal berfokus pada studi data harga dan volume masa lalu untuk mengidentifikasi pola dan tren yang dapat membantu memperkirakan arah harga selanjutnya, berbeda dengan analisis fundamental yang menilai nilai intrinsik, dividen, atau kinerja manajemen."
138,Philosophy & History of Technical Analysis,Technical Analysis paling sering digunakan untuk...,Menilai laporan keuangan,Menentukan entry dan exit,Menghindari kerugian sepenuhnya,Menentukan struktur modal,B,"Analisis teknikal digunakan oleh trader untuk mengidentifikasi waktu yang tepat dalam membuka (entry) dan menutup (exit) posisi berdasarkan pola harga, indikator, dan level support/resistance, bukan untuk menilai laporan keuangan, menghindari kerugian sepenuhnya, atau menentukan struktur modal."
139,Technical Indicators,Time frame dalam Technical Analysis menunjukkan...,Jenis indikator yang digunakan,Jangka waktu analisis,Besar modal trader,Arah trend pasar,B,"Time frame dalam analisis teknikal mengacu pada durasi setiap batang/candlestick (misalnya 1 menit, 1 jam, harian, mingguan) yang menentukan periode waktu yang dianalisis, bukan jenis indikator, besar modal, atau arah tren."
140,Dow Theory & Market Cycles,"Dalam technical analysis, semua informasi pasar tercermin pada...",Berita,Laporan keuangan,Harga,Sentimen analis,C,"Dalam analisis teknikal, prinsip dasar menyatakan bahwa semua informasi yang tersedia—baik fundamental, berita, maupun sentimen—telah sepenuhnya tercermin dalam pergerakan harga."
141,Dow Theory & Market Cycles,Dow Theory menyatakan bahwa tren akan berlanjut sampai ada...,Volume meningkat,Koreksi kecil,Sinyal pembalikan yang jelas,Harga menyentuh support,C,"Menurut Dow Theory, tren yang sudah terbentuk akan terus berlangsung hingga diberikan sinyal pembalikan yang meyakinkan, bukan hanya karena koreksi kecil, sentuhan support, atau peningkatan volume."
142,Dow Theory & Market Cycles,"Menurut Dow Theory, tren utama (primary trend) adalah...",Pergerakan harga jangka sangat pendek,Fluktuasi harga harian,Arah pergerakan harga jangka panjang,Pergerakan harga tanpa arah,C,"Menurut Dow Theory, tren utama (primary trend) berlangsung selama berbulan hingga bertahun-tahun dan merepresentasikan arah pasar secara fundamental, berbeda dengan fluktuasi harian atau koreksi jangka pendek."
143,Technical Indicators,Indikator teknikal digunakan untuk...,Menghilangkan risiko trading,Menentukan nilai fundamental,Membantu analisis pergerakan harga,Menentukan kebijakan perusahaan,C,"Indikator teknikal seperti RSI, MACD, atau moving average dirancang untuk mengolah data harga dan volume guna mengidentifikasi pola, momentum, atau potensi pembalikan, bukan untuk menghilangkan risiko, menentukan nilai fundamental, atau kebijakan perusahaan."
144,Dow Theory & Market Cycles,Trend naik (uptrend) ditandai dengan...,Lower high dan lower low,Higher high dan higher low,Harga bergerak sideways,Volume terus menurun,B,"Dalam analisis teknikal, uptrend didefinisikan sebagai serangkaian puncak yang semakin tinggi (higher high) dan lembah yang semakin tinggi (higher low), menunjukkan dominasi tekanan beli."
145,Dow Theory & Market Cycles,"Pernyataan ""Volume harus mengonfirmasi tren"" berarti...",Volume tidak penting,Volume selalu menurun,Volume meningkat searah tren,Volume bergerak acak,C,"Dalam analisis teknikal, volume yang mengonfirmasi tren berarti saat harga bergerak naik (tren naik) volume cenderung meningkat, atau saat harga bergerak turun (tren turun) volume juga meningkat, sehingga memperkuat validitas tren tersebut."
146,Dow Theory & Market Cycles,"Prinsip ""Market discounts everything"" berarti...",Harga bergerak secara acak,Semua informasi tercermin dalam harga,Harga hanya dipengaruhi oleh berita,Volume tidak berpengaruh,B,"Prinsip dasar analisis teknikal ini menyatakan bahwa faktor fundamental, berita, sentimen pasar, dan segala informasi lain telah sepenuhnya dihargai oleh pergerakan harga saat ini."
147,Candlestick Patterns,Candlestick chart menampilkan informasi...,"Harga pembukaan, penutupan, tertinggi, dan terendah",Volume dan indikator,Laporan keuangan,Data ekonomi,A,"Candlestick chart merepresentasikan pergerakan harga dalam periode tertentu melalui tubuh (open-close) dan sumbu (high-low), tanpa secara langsung menampilkan volume, indikator, laporan keuangan, atau data ekonomi."
148,Support & Resistance,Support adalah...,Area harga tertinggi,Area di mana harga sulit naik,Area di mana harga cenderung tertahan turun,Titik tertinggi pergerakan harga,C,Support merupakan level psikologis atau teknis di mana tekanan beli cukup kuat sehingga harga sulit melanjutkan penurunan dan cenderung memantul ke atas.
149,Support & Resistance,Resistance berfungsi sebagai...,Area pantulan harga ke atas,Area penahan penurunan harga,Area di mana harga sulit naik,Titik stop loss,C,Resistance merupakan level psikologis atau teknis di mana tekanan jual cukup kuat sehingga harga cenderung berbalik turun atau mengalami kesulitan untuk menembus ke atas.
150,Chart Patterns,Pola Head and Shoulders termasuk dalam kategori...,Continuation Pattern,Reversal Pattern,Random Pattern,Sideways Pattern,B,"Pola Head and Shoulders terbentuk setelah tren naik (Head and Shoulders Top) atau tren turun (Head and Shoulders Bottom) dan menandakan pembalikan arah tren, bukan kelanjutan atau pergerakan acak/sideways."
151,Chart Patterns,Pola Double Top biasanya mengindikasikan...,Kelanjutan tren naik,Pembalikan dari tren naik ke turun,Sideways market,Tren naik yang semakin kuat,B,"Pola Double Top terbentuk setelah tren naik yang panjang dengan dua puncak berdekatan pada level resistensi yang sama, yang menandakan kegagalan harga untuk menembus ke atas dan diikuti oleh penurunan yang mengonfirmasi pembalikan tren menjadi bearish."
152,Chart Patterns,Breakout pada chart pattern dianggap valid jika didukung oleh...,Harga penutupan,Indikator RSI,Volume yang meningkat,Moving Average,C,"Breakout pada chart pattern dianggap valid jika didukung oleh volume yang meningkat karena volume tinggi menunjukkan partisipasi besar dari pelaku pasar, sehingga membuktikan kekuatan dan komitmen nyata di balik pergerakan harga tersebut, bukan sekadar pergerakan palsu (fakeout) yang biasanya terjadi dengan volume rendah."
153,Candlestick Patterns,Candlestick dengan body kecil dan shadow panjang atas-bawah disebut...,Marubozu,Doji,Hammer,Engulfing,B,"Candlestick dengan body kecil dan shadow panjang atas-bawah disebut Doji karena pola ini menunjukkan bahwa harga open dan close hampir sama (body sangat kecil), sementara terdapat perjuangan kuat antara pembeli dan penjual yang tercermin dari shadow panjang di atas dan bawah, mengindikasikan ketidakpastian atau indecision di pasar."
154,Candlestick Patterns,Panjang shadow bawah yang lebih panjang menunjukkan...,Tekanan jual kuat,Tekanan beli kuat,Volume kecil,Tidak ada minat pasar,B,"Panjang shadow bawah yang lebih panjang menunjukkan tekanan beli kuat karena harga sempat turun jauh selama periode tersebut namun akhirnya ditolak dan ditarik kembali ke atas oleh pembeli yang agresif, mengindikasikan bahwa kekuatan beli berhasil mengalahkan tekanan jual di level harga rendah."
155,Technical Indicators,Moving Average termasuk indikator jenis...,Leading,Lagging,Oscillator,Volume,B,"Moving Average termasuk indikator jenis lagging karena indikator ini dihitung berdasarkan rata-rata harga di masa lalu, sehingga cenderung mengikuti tren yang sudah terbentuk daripada memprediksi pergerakan harga di masa depan."
156,Technical Indicators,RSI berada pada skala...,0-50,0-100,-100-100,20-80,B,"RSI berada pada skala 0-100 karena indikator ini mengukur kekuatan momentum harga dengan perbandingan antara kenaikan dan penurunan rata-rata dalam periode tertentu (biasanya 14), di mana level di atas 70 menandakan overbought dan di bawah 30 menandakan oversold."
157,Technical Indicators,Indikator Stochastic paling efektif digunakan pada market...,Trending kuat,Sideways,High volatility,Breakout,B,"Indikator Stochastic paling efektif digunakan pada market sideways karena di pasar yang ranging atau tidak trending kuat ini, Stochastic mampu mendeteksi kondisi overbought dan oversold dengan akurat, sehingga sinyal crossover dan divergence yang dihasilkan menjadi lebih reliable untuk memprediksi pembalikan harga di dalam range tersebut."
158,Technical Indicators,MACD merupakan kombinasi dari...,Volume & harga,Dua Moving Average,RSI & Stochastic,High & Low,B,"MACD merupakan kombinasi dari dua Moving Average karena indikator ini dihitung dari selisih antara Exponential Moving Average (EMA) periode pendek (biasanya 12) dan EMA periode panjang (biasanya 26), yang kemudian menghasilkan MACD Line, Signal Line, dan Histogram untuk mengukur momentum dan kekuatan tren."
159,Technical Indicators,Bollinger Bands mengukur...,Arah tren,Kekuatan tren,Volatilitas,Volume pasar,C,"Bollinger Bands mengukur volatilitas karena lebar band (jarak antara upper band dan lower band) dihitung berdasarkan standar deviasi dari Moving Average, di mana band melebar saat volatilitas pasar tinggi dan menyempit saat volatilitas rendah, sehingga membantu trader melihat tingkat fluktuasi harga secara visual."
